uf,municipio,data,causa,decreto,fonte,url
RS,Porto Xavier,14/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.606, nº 2.606, nº 2.607, nº 2.607, nº 2.608, nº 2.608, nº 2.609, nº 2.609)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-18-cidades-afetadas-por-desastres-1
RS,Relvado,06/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.546, nº 2.548, nº 2.548, nº 2.548, nº 2.549, nº 2.549, nº 2.553, nº 2.564)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-oito-cidades-afetadas-por-desastres-1
RS,Rio Grande,02/09/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.853, nº 2.855, nº 2.858, nº 2.865)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-16-cidades-afetadas-por-desastres-2
RS,Rio Pardo,19/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.645, nº 2.658, nº 2.659, nº 2.659, nº 2.667)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-46-cidades-afetadas-por-desastres
RS,Roca Sales,22/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.724, nº 2.727, nº 2.731, nº 2.735)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-13-cidades-afetadas-por-desastres
RS,Rolante,28/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.808, nº 2.808, nº 2.808, nº 2.809, nº 2.810, nº 2811, nº 2811, nº 2811, nº 2.814, nº 2.814, nº 2.814)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-12-cidades-afetadas-por-desastres
RS,Santa Rosa,07/08/2026,situação de emergência,Decreto municipal nº 138,Diário oficial municipal (via Querido Diário),https://data.queridodiario.ok.org.br/4317202/2026-08-07/6e37073765d274b3c229484df46654114e3fc640.pdf
RS,Santo Antônio das Missões,06/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.546, nº 2.548, nº 2.548, nº 2.548, nº 2.549, nº 2.549, nº 2.553, nº 2.564)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-oito-cidades-afetadas-por-desastres-1
RS,Santo Antônio do Palma,25/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.754, nº 2.757, nº 2.758, nº 2.759)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-24-cidades-afetadas-por-desastres-1
RS,Santo Expedito do Sul,17/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.622, nº 2.627)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-10-cidades-afetadas-por-desastres
RS,Sarandi,03/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.484, nº 2.485, nº 2.486, nº 2.486, nº 2.486)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-18-cidades-afetadas-por-desastres
RS,São Jerônimo,19/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.645, nº 2.658, nº 2.659, nº 2.659, nº 2.667)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-46-cidades-afetadas-por-desastres
RS,São José do Norte,25/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.754, nº 2.757, nº 2.758, nº 2.759)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-24-cidades-afetadas-por-desastres-1
