ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
2903201,BA,Barreiras,nacional,2026-09-03,,,
2903235,BA,Barro Alto,nacional,2026-09-03,,,
2903300,BA,Barro Preto,nacional,2026-09-03,,,
2903276,BA,Barrocas,nacional,2026-09-03,,,
2903409,BA,Belmonte,nacional,2026-09-03,,,
2903508,BA,Belo Campo,nacional,2026-09-03,,,
2903607,BA,Biritinga,nacional,2026-09-03,,,
2903706,BA,Boa Nova,nacional,2026-09-03,,,
2903805,BA,Boa Vista do Tupim,nacional,2026-09-03,,,
2903904,BA,Bom Jesus da Lapa,nacional,2026-09-03,,,
2903953,BA,Bom Jesus da Serra,nacional,2026-09-03,,,
2904001,BA,Boninal,nacional,2026-09-03,,,
2904050,BA,Bonito,nacional,2026-09-03,,,
2904100,BA,Boquira,nacional,2026-09-03,,,
2904209,BA,Botuporã,nacional,2026-09-03,,,
2904407,BA,Brejolândia,nacional,2026-09-03,,,
2904308,BA,Brejões,nacional,2026-09-03,,,
2904506,BA,Brotas de Macaúbas,nacional,2026-09-03,,,
2904605,BA,Brumado,nacional,2026-09-03,,,
2904704,BA,Buerarema,nacional,2026-09-03,,,
2904753,BA,Buritirama,nacional,2026-09-03,,,
2904803,BA,Caatiba,nacional,2026-09-03,,,
2904852,BA,Cabaceiras do Paraguaçu,nacional,2026-09-03,,,
2904902,BA,Cachoeira,nacional,2026-09-03,,,
2905008,BA,Caculé,nacional,2026-09-03,,,
2905156,BA,Caetanos,nacional,2026-09-03,,,
2905206,BA,Caetité,nacional,2026-09-03,,,
2905305,BA,Cafarnaum,nacional,2026-09-03,,,
2905404,BA,Cairu,nacional,2026-09-03,,,
2905503,BA,Caldeirão Grande,nacional,2026-09-03,,,
2905602,BA,Camacan,nacional,2026-09-03,,,
2905800,BA,Camamu,nacional,2026-09-03,,,
2905701,BA,Camaçari,nacional,2026-09-03,,,
2905909,BA,Campo Alegre de Lourdes,nacional,2026-09-03,,,
2906006,BA,Campo Formoso,nacional,2026-09-03,,,
