ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
2606309,PE,Nordeste,Granito,6967,pequeno_I,geo_hidrologico,False,nacional,,,
2606903,PE,Nordeste,Iguaracy,11082,pequeno_I,,True,nacional,,,
2607752,PE,Nordeste,Itapissuma,27749,pequeno_II,,True,nacional,,,
2608206,PE,Nordeste,Joaquim Nabuco,13269,pequeno_I,geo_hidrologico,False,nacional,,,
2609154,PE,Nordeste,Manari,23763,pequeno_II,,True,nacional,,,
2613107,PE,Nordeste,São Caetano,37126,pequeno_II,geo_hidrologico,False,nacional,,,
2613404,PE,Nordeste,São José da Coroa Grande,18825,pequeno_I,geo_hidrologico,False,nacional,,,
2615409,PE,Nordeste,Toritama,41137,pequeno_II,,True,nacional,,,
2616183,PE,Nordeste,Vertente do Lério,7558,pequeno_I,,True,nacional,,,
2200301,PI,Nordeste,Alto Longá,13479,pequeno_I,geo_hidrologico,False,nacional,,,
2202026,PI,Nordeste,Buriti dos Montes,7434,pequeno_I,,True,nacional,,,
2203503,PI,Nordeste,Elesbão Veloso,13607,pequeno_I,,True,nacional,,,
2204204,PI,Nordeste,Francisco Santos,8237,pequeno_I,,True,nacional,,,
2204550,PI,Nordeste,Guaribas,4276,pequeno_I,,True,nacional,,,
2204600,PI,Nordeste,Hugo Napoleão,3518,pequeno_I,,True,nacional,,,
2206100,PI,Nordeste,Matias Olímpio,10641,pequeno_I,geo_hidrologico,False,nacional,,,
2207009,PI,Nordeste,Oeiras,38161,pequeno_II,,True,nacional,,,
2207702,PI,Nordeste,Parnaíba,162159,grande,geo_hidrologico,False,nacional,,,
2208007,PI,Nordeste,Picos,83090,medio,geo_hidrologico,False,nacional,,,
2210359,PI,Nordeste,São Lourenço do Piauí,4410,pequeno_I,,True,nacional,,,
2210805,PI,Nordeste,Simplício Mendes,13881,pequeno_I,,True,nacional,,,
4100301,PR,Sul,Agudos do Sul,10233,pequeno_I,,True,nacional,,,
4102604,PR,Sul,Barracão,9759,pequeno_I,geo_hidrologico,False,nacional,,,
4107256,PR,Sul,Douradina,9161,pequeno_I,,True,nacional,,,
4109906,PR,Sul,Icaraíma,8991,pequeno_I,,True,nacional,,,
4110102,PR,Sul,Imbituva,29924,pequeno_II,geo_hidrologico,False,nacional,,,
4111902,PR,Sul,Jaguapitã,15122,pequeno_I,geo_hidrologico,False,nacional,,,
4114807,PR,Sul,Marialva,41851,pequeno_II,,True,nacional,,,
4118402,PR,Sul,Paranavaí,91950,medio,geo_hidrologico,False,nacional,,,
4121000,PR,Sul,Querência do Norte,10685,pequeno_I,geo_hidrologico,False,nacional,,,
4122156,PR,Sul,Rio Bonito do Iguaçu,13929,pequeno_I,,True,nacional,,,
